year,player,Tm,mp,g,TS%,USG%,AST%,TRB%,STL%,BLK%,TOV%,OWS,DWS,WS
2022,Kelsey Plum,LVA,1182,36,0.608,0.26,0.26,0.046,1.5,0.2,0.136,4.1,0.6,4.8
2022,Brianna Turner,PHO,1168,35,0.603,0.069,0.106,0.12,1.9,4.2,0.285,1.1,1.3,2.4
2022,Sabrina Ionescu,NYL,1163,36,0.549,0.268,0.369,0.126,1.7,0.7,0.16,2.8,1.6,4.3
2022,Alyssa Thomas,CON,1154,36,0.549,0.20600000000000002,0.301,0.155,2.7,0.6,0.18899999999999997,3.0,2.7,5.8
2022,Jackie Young,LVA,1129,34,0.593,0.19699999999999998,0.184,0.073,2.1,0.6,0.086,4.4,1.0,5.4
2022,Jewell Loyd,SEA,1090,36,0.526,0.265,0.19399999999999998,0.05,1.8,0.5,0.12300000000000001,1.1,1.4,2.4
2022,Allisha Gray,DAL,1086,33,0.562,0.17800000000000002,0.128,0.08800000000000001,1.8,2.0,0.09699999999999999,2.7,0.9,3.5
2022,Ariel Atkins,WAS,1081,36,0.543,0.22899999999999998,0.139,0.064,2.4,0.8,0.095,2.0,2.0,4.1
2022,A'ja Wilson,LVA,1080,36,0.585,0.273,0.12300000000000001,0.17600000000000002,2.4,5.8,0.092,4.1,2.4,6.5
2022,Nneka Ogwumike,LAS,1068,34,0.604,0.242,0.125,0.129,2.6,1.3,0.109,3.1,0.9,4.0
2022,Rhyne Howard,ATL,1066,34,0.489,0.255,0.166,0.084,2.5,2.3,0.084,1.1,1.8,2.9
2022,Natasha Cloud,WAS,1065,34,0.523,0.192,0.368,0.068,1.7,0.9,0.213,1.4,1.9,3.2
2022,Breanna Stewart,SEA,1052,34,0.592,0.289,0.179,0.14,2.6,2.5,0.064,4.9,2.5,7.4
2022,Kayla Thornton,DAL,1050,36,0.59,0.121,0.096,0.121,1.9,1.7,0.14800000000000002,2.3,1.0,3.3
2022,Natasha Howard,NYL,1048,35,0.551,0.26,0.15,0.141,2.2,2.8,0.19,0.2,1.8,2.0
2022,Chelsea Gray,LVA,1039,35,0.584,0.21100000000000002,0.325,0.06,2.7,0.9,0.163,3.1,1.2,4.3
2022,Emma Meesseman,CHI,1030,36,0.617,0.183,0.215,0.115,2.5,2.3,0.12300000000000001,3.7,1.9,5.6
2022,Skylar Diggins,PHO,1019,30,0.532,0.28600000000000003,0.324,0.07,2.4,2.5,0.126,2.3,0.8,3.1
2022,Kelsey Mitchell,IND,1010,31,0.568,0.24600000000000002,0.25,0.035,1.4,0.6,0.127,2.6,-0.3,2.3
2022,DeWanna Bonner,CON,991,33,0.554,0.2,0.145,0.096,2.1,1.0,0.115,2.4,1.9,4.4
2022,NaLyssa Smith,IND,983,32,0.496,0.226,0.085,0.15,0.8,0.7,0.14800000000000002,-0.2,0.1,0.0
2022,Shey Peddy,PHO,974,34,0.549,0.168,0.205,0.078,2.8,0.6,0.135,2.0,0.7,2.7
2022,Diana Taurasi,PHO,962,31,0.559,0.262,0.225,0.065,1.1,1.6,0.153,1.4,0.4,1.8
2022,Marina Mabrey,DAL,951,34,0.511,0.252,0.23800000000000002,0.079,1.5,1.2,0.154,0.5,0.6,1.1
2022,Courtney Williams,CON,950,34,0.47,0.212,0.18899999999999997,0.1,1.8,1.4,0.124,0.6,1.8,2.4
2022,Aerial Powers,MIN,943,35,0.493,0.285,0.18600000000000003,0.1,2.3,1.1,0.14800000000000002,0.4,0.9,1.3
2022,Katie Lou Samuelson,LAS,943,32,0.504,0.16399999999999998,0.10400000000000001,0.062,1.8,0.7,0.099,0.4,0.1,0.5
2022,Cheyenne Parker-Tyus,ATL,942,36,0.551,0.215,0.14300000000000002,0.13699999999999998,2.0,3.2,0.159,1.1,1.8,2.9
2022,Arike Ogunbowale,DAL,941,30,0.523,0.293,0.22,0.063,2.5,0.3,0.087,2.4,0.7,3.1
2022,Jessica Shepard,MIN,941,36,0.568,0.152,0.179,0.163,0.8,1.2,0.19399999999999998,1.8,0.8,2.6
2022,Victoria Vivians,IND,940,35,0.425,0.218,0.159,0.078,2.0,0.8,0.152,-1.6,0.2,-1.5
2022,Kayla McBride,MIN,923,31,0.539,0.20600000000000002,0.115,0.055,1.8,0.2,0.105,1.5,0.5,2.0
2022,Brittney Sykes,LAS,921,32,0.505,0.23800000000000002,0.222,0.078,3.6,2.2,0.17300000000000001,-0.1,0.8,0.7
2022,Gabby Williams,SEA,920,36,0.512,0.156,0.188,0.111,2.9,1.3,0.165,0.9,1.9,2.8
2022,Brionna Jones,CON,905,36,0.633,0.215,0.085,0.125,2.5,1.3,0.121,4.2,1.8,6.0
2022,Candace Parker,CHI,904,32,0.555,0.23,0.254,0.18100000000000002,1.7,2.7,0.17,1.5,2.1,3.5
2022,Dearica Hamby,LVA,901,34,0.543,0.168,0.062,0.15,2.0,0.5,0.147,0.8,1.2,2.1
2022,Natisha Hiedeman,CON,901,36,0.573,0.162,0.198,0.043,2.4,0.4,0.141,2.0,1.5,3.5
2022,Allie Quigley,CHI,895,34,0.569,0.195,0.163,0.057,1.4,0.6,0.11699999999999999,2.0,0.9,2.9
2022,Kahleah Copper,CHI,891,31,0.577,0.248,0.129,0.11699999999999999,0.8,0.1,0.13,1.8,1.0,2.8
2022,Aari McDonald,ATL,876,36,0.548,0.222,0.188,0.054000000000000006,3.0,0.1,0.175,0.8,1.3,2.0
2022,Jonquel Jones,CON,871,33,0.615,0.239,0.115,0.198,2.0,4.1,0.17800000000000002,2.6,2.3,4.9
2022,Jordin Canada,LAS,865,32,0.468,0.203,0.327,0.052000000000000005,2.6,0.5,0.193,-0.2,0.3,0.1
2022,Lexie Brown,LAS,850,34,0.569,0.129,0.13,0.055999999999999994,2.0,0.8,0.11599999999999999,0.9,0.1,1.1
2022,Courtney Vandersloot,CHI,849,32,0.576,0.221,0.376,0.087,2.3,1.5,0.21100000000000002,2.1,1.4,3.5
2022,Sylvia Fowles,MIN,831,30,0.638,0.21600000000000003,0.08199999999999999,0.20600000000000002,1.9,3.9,0.159,2.2,1.5,3.7
2022,Sophie Cunningham,PHO,827,28,0.611,0.17600000000000002,0.09699999999999999,0.08800000000000001,1.7,1.1,0.091,1.9,0.6,2.5
2022,Stefanie Dolson,NYL,826,36,0.586,0.16899999999999998,0.139,0.12,0.9,2.9,0.185,1.0,0.9,2.0
2022,Sue Bird,SEA,818,31,0.555,0.155,0.348,0.040999999999999995,2.4,0.4,0.21600000000000003,1.3,1.1,2.5
2022,Ezi Magbegor,SEA,817,33,0.594,0.17300000000000001,0.09300000000000001,0.129,1.8,6.1,0.145,1.4,1.9,3.3
2022,Moriah Jefferson,MIN,805,30,0.562,0.19699999999999998,0.302,0.054000000000000006,2.2,0.5,0.18899999999999997,1.4,0.6,2.0
2022,Erica Wheeler,ATL,789,30,0.427,0.207,0.254,0.068,2.1,0.2,0.205,-1.4,1.0,-0.4
2022,Shakira Austin,WAS,776,36,0.576,0.19399999999999998,0.075,0.17800000000000002,1.7,3.6,0.166,1.1,2.0,3.1
2022,Azura Stevens,CHI,768,35,0.553,0.214,0.059000000000000004,0.106,1.1,3.9,0.07200000000000001,1.0,1.3,2.3
2022,Alysha Clark,WAS,766,29,0.565,0.147,0.127,0.102,1.8,1.0,0.156,0.8,1.5,2.3
2022,Diamond DeShields,PHO,760,30,0.472,0.294,0.17,0.08900000000000001,2.1,1.7,0.14400000000000002,-1.1,0.7,-0.4
2022,Rebekah Gardner,CHI,760,35,0.614,0.177,0.08800000000000001,0.09,3.3,1.9,0.18600000000000003,1.1,1.4,2.5
2022,Sami Whitcomb,NYL,746,35,0.538,0.161,0.179,0.064,1.6,0.6,0.188,0.2,0.6,0.8
2022,Danielle Robinson,IND,732,31,0.501,0.166,0.276,0.071,1.5,0.6,0.182,0.5,0.0,0.5
2022,Queen Egbo,IND,720,33,0.481,0.188,0.075,0.16899999999999998,2.1,4.7,0.205,-0.7,0.8,0.0
2022,Shatori Walker-Kimbrough,WAS,705,35,0.534,0.174,0.12300000000000001,0.054000000000000006,2.7,1.3,0.147,0.5,1.5,1.9
2022,Elena Delle Donne,WAS,694,25,0.59,0.26,0.16399999999999998,0.135,0.9,3.6,0.069,2.9,1.5,4.4
2022,Naz Hillmon,ATL,674,34,0.535,0.11800000000000001,0.09699999999999999,0.14800000000000002,1.6,1.4,0.222,0.4,1.1,1.5
2022,Crystal Dangerfield,NYL,662,30,0.49,0.134,0.182,0.055,1.4,0.3,0.145,0.4,0.4,0.8
2022,Myisha Hines-Allen,WAS,656,34,0.498,0.255,0.182,0.162,2.1,1.4,0.161,-0.1,1.6,1.5
2022,Isabelle Harrison,DAL,644,35,0.536,0.23,0.128,0.141,2.1,0.7,0.139,1.2,0.6,1.8
2022,Emily Engstler,IND,638,35,0.455,0.16699999999999998,0.135,0.165,2.0,5.3,0.195,-0.2,0.6,0.4
2022,DiJonai Carrington,CON,631,36,0.516,0.205,0.092,0.107,2.4,0.4,0.2,0.0,1.2,1.3
2022,Rachel Banham,MIN,630,36,0.57,0.21,0.218,0.044000000000000004,0.7,0.6,0.162,0.9,0.1,1.0
2022,Teaira McCowan,DAL,623,33,0.619,0.25,0.078,0.225,0.9,3.2,0.161,2.2,0.7,2.9
2022,Marine Johannes,NYL,612,24,0.637,0.175,0.23199999999999998,0.038,1.2,0.4,0.18899999999999997,1.2,0.3,1.4
2022,Briann January,SEA,608,36,0.507,0.139,0.205,0.034,1.9,1.1,0.28600000000000003,-0.4,0.8,0.4
2022,Bridget Carleton,MIN,606,36,0.533,0.124,0.1,0.07400000000000001,1.3,0.7,0.13699999999999998,0.5,0.3,0.8
2022,Kristy Wallace,ATL,602,29,0.526,0.165,0.17300000000000001,0.066,1.4,0.9,0.196,0.2,0.6,0.8
2022,Destanni Henderson,IND,589,36,0.5,0.185,0.259,0.055999999999999994,2.3,0.4,0.239,-0.2,0.0,-0.3
2022,Liz Cambage,LAS,584,25,0.583,0.26,0.16399999999999998,0.168,1.4,6.5,0.17,1.1,0.7,1.7
2022,Tiffany Mitchell,IND,553,34,0.539,0.184,0.13,0.043,2.5,0.3,0.128,0.7,0.0,0.7
2022,Tyasha Harris,DAL,552,35,0.496,0.174,0.292,0.035,1.2,0.6,0.18100000000000002,0.4,0.1,0.5
2022,Stephanie Talbot,SEA,548,34,0.576,0.153,0.128,0.11199999999999999,2.2,1.7,0.195,0.4,1.1,1.4
2022,Veronica Burton,DAL,548,36,0.522,0.102,0.179,0.059000000000000004,3.2,1.8,0.28,0.3,0.6,0.9
2022,Han Xu,NYL,538,32,0.563,0.22699999999999998,0.109,0.124,1.6,3.3,0.087,1.3,0.7,2.0
2022,Tina Charles,PHO,530,16,0.53,0.259,0.126,0.129,1.3,2.0,0.13,0.1,0.5,0.6
2022,Rebecca Allen,NYL,523,25,0.485,0.179,0.10099999999999999,0.09300000000000001,2.1,3.9,0.11800000000000001,-0.2,0.8,0.6
2022,Chiney Ogwumike,LAS,478,26,0.534,0.196,0.098,0.182,2.1,1.7,0.17800000000000002,0.4,0.4,0.8
2022,Kiah Stokes,LVA,475,31,0.514,0.081,0.055999999999999994,0.16,1.5,4.7,0.209,0.3,0.8,1.1
2022,Michaela Onyenwere,NYL,466,34,0.516,0.177,0.046,0.087,1.5,1.4,0.14,0.0,0.5,0.5
2022,Rui Machida,WAS,463,36,0.369,0.126,0.3,0.051,1.8,0.4,0.302,-0.6,0.8,0.1
2022,Elizabeth Williams,WAS,447,30,0.503,0.185,0.055,0.153,2.1,4.1,0.106,0.5,1.1,1.6
2022,Olivia Nelson-Ododa,LAS,436,30,0.598,0.135,0.04,0.124,1.0,5.1,0.23800000000000002,0.3,0.2,0.5
2022,Awak Kuier,DAL,416,33,0.457,0.127,0.106,0.11900000000000001,1.6,6.2,0.16,0.1,0.5,0.6
2022,Epiphanny Prince,SEA,406,33,0.481,0.168,0.22,0.045,2.5,0.6,0.1,0.5,0.6,1.1
2022,Julie Allemand,CHI,402,25,0.545,0.114,0.28300000000000003,0.057999999999999996,1.8,0.6,0.327,0.4,0.4,0.8
2022,Theresa Plaisance,LVA,401,31,0.515,0.156,0.054000000000000006,0.11199999999999999,1.0,2.9,0.142,0.0,0.4,0.4
