year,player,Tm,mp,g,TS%,USG%,AST%,TRB%,STL%,BLK%,TOV%,OWS,DWS,WS
2024,Arike Ogunbowale,DAL,1465,38,0.52,0.268,0.22399999999999998,0.07,2.8,0.6,0.11199999999999999,3.7,-0.4,3.3
2024,Caitlin Clark,IND,1416,40,0.583,0.27699999999999997,0.391,0.094,1.9,1.7,0.253,2.3,0.7,3.0
2024,Dearica Hamby,LAS,1346,40,0.566,0.24100000000000002,0.20600000000000002,0.165,2.5,0.5,0.162,1.9,1.5,3.4
2024,Allisha Gray,ATL,1327,40,0.526,0.22399999999999998,0.151,0.075,1.6,2.0,0.102,2.3,1.5,3.8
2024,A'ja Wilson,LVA,1308,38,0.591,0.322,0.141,0.19899999999999998,2.6,6.3,0.053,7.0,3.8,10.9
2024,Alyssa Thomas,CON,1296,40,0.543,0.191,0.409,0.161,2.5,1.3,0.271,2.2,3.4,5.5
2024,Kelsey Plum,LVA,1291,38,0.563,0.248,0.209,0.044000000000000004,1.0,0.1,0.134,2.1,1.0,3.1
2024,Kelsey Mitchell,IND,1280,40,0.588,0.249,0.099,0.045,1.1,0.5,0.08900000000000001,3.7,-0.5,3.2
2024,DeWanna Bonner,CON,1271,40,0.524,0.22899999999999998,0.11199999999999999,0.11599999999999999,2.0,2.0,0.08900000000000001,1.9,3.1,4.9
2024,Natasha Cloud,PHO,1265,38,0.508,0.198,0.345,0.071,2.2,1.6,0.21100000000000002,1.0,0.6,1.6
2024,Skylar Diggins,SEA,1262,40,0.525,0.239,0.34,0.047,2.7,2.5,0.16,2.2,2.1,4.3
2024,Jewell Loyd,SEA,1246,37,0.497,0.28800000000000003,0.183,0.076,2.1,0.6,0.10400000000000001,1.6,1.9,3.5
2024,Breanna Stewart,NYL,1243,38,0.569,0.271,0.19399999999999998,0.15,2.6,3.3,0.087,5.4,3.4,8.7
2024,Kayla McBride,MIN,1237,39,0.611,0.20800000000000002,0.168,0.047,2.0,0.1,0.141,3.2,2.1,5.2
2024,Aliyah Boston,IND,1236,40,0.566,0.20600000000000002,0.17300000000000001,0.168,1.4,3.5,0.138,3.6,0.9,4.5
2024,Sabrina Ionescu,NYL,1221,38,0.525,0.281,0.336,0.08,1.6,0.9,0.136,2.9,2.0,4.9
2024,Jackie Young,LVA,1205,37,0.557,0.23,0.271,0.077,1.5,0.6,0.13,3.1,1.4,4.5
2024,Kahleah Copper,PHO,1197,37,0.544,0.318,0.142,0.08199999999999999,1.2,0.2,0.133,0.9,0.2,1.1
2024,Ariel Atkins,WAS,1196,40,0.552,0.24,0.192,0.068,2.5,1.3,0.145,1.4,1.4,2.8
2024,Napheesa Collier,MIN,1181,34,0.565,0.267,0.188,0.162,2.8,3.6,0.102,3.7,3.7,7.4
2024,Nneka Ogwumike,SEA,1177,37,0.578,0.218,0.131,0.135,3.0,1.5,0.084,3.7,2.7,6.4
2024,Bridget Carleton,MIN,1164,39,0.62,0.135,0.11699999999999999,0.073,1.7,0.9,0.11699999999999999,2.5,2.1,4.5
2024,Jonquel Jones,NYL,1164,39,0.645,0.201,0.183,0.174,1.3,3.7,0.177,3.6,2.9,6.5
2024,Tina Charles,ATL,1160,39,0.501,0.25,0.16,0.184,1.6,1.6,0.095,1.7,2.0,3.7
2024,DiJonai Carrington,CON,1155,39,0.498,0.22899999999999998,0.092,0.105,2.8,1.4,0.129,0.4,2.8,3.2
2024,Rickea Jackson,LAS,1152,40,0.547,0.21899999999999997,0.09699999999999999,0.081,1.2,1.1,0.134,1.0,0.1,1.1
2024,Ezi Magbegor,SEA,1135,37,0.578,0.165,0.105,0.149,1.8,6.2,0.124,2.7,2.7,5.4
2024,Tyasha Harris,CON,1125,39,0.546,0.17600000000000002,0.175,0.038,1.9,1.1,0.126,1.6,2.0,3.6
2024,Sophie Cunningham,PHO,1109,40,0.618,0.128,0.113,0.08199999999999999,1.9,0.8,0.12300000000000001,2.2,0.5,2.7
2024,Angel Reese,CHI,1104,34,0.464,0.22699999999999998,0.096,0.23,2.0,1.3,0.131,1.1,1.6,2.7
2024,Brionna Jones,CON,1087,40,0.581,0.223,0.105,0.126,2.2,2.0,0.09699999999999999,3.5,2.5,6.0
2024,Courtney Williams,MIN,1061,40,0.487,0.24100000000000002,0.37,0.102,1.7,1.3,0.177,0.3,2.4,2.7
2024,Diana Taurasi,PHO,1044,36,0.554,0.243,0.209,0.076,1.1,0.9,0.12300000000000001,2.0,0.1,2.1
2024,Alanna Smith,MIN,1035,39,0.575,0.187,0.198,0.12300000000000001,2.6,4.8,0.18100000000000002,1.8,2.9,4.7
2024,Rhyne Howard,ATL,1018,30,0.51,0.249,0.17600000000000002,0.073,2.8,1.7,0.091,1.5,1.5,3.0
2024,Stefanie Dolson,WAS,1013,39,0.621,0.16399999999999998,0.171,0.114,1.0,1.7,0.18600000000000003,1.6,1.1,2.7
2024,NaLyssa Smith,IND,990,40,0.52,0.20600000000000002,0.068,0.168,1.5,3.5,0.114,1.2,0.9,2.0
2024,Teaira McCowan,DAL,983,39,0.607,0.198,0.10400000000000001,0.19,1.7,3.0,0.16899999999999998,2.7,0.1,2.9
2024,Alysha Clark,LVA,972,40,0.587,0.12300000000000001,0.105,0.086,1.7,1.0,0.212,0.5,1.3,1.8
2024,Lindsay Allen,CHI,950,40,0.537,0.14300000000000002,0.261,0.048,1.7,0.6,0.207,0.9,0.5,1.4
2024,Jacy Sheldon,DAL,931,40,0.489,0.131,0.153,0.052000000000000005,1.2,1.1,0.221,0.0,-0.8,-0.9
2024,Julie Vanloo,WAS,926,40,0.47,0.203,0.308,0.042,1.0,0.1,0.24600000000000002,-1.4,0.5,-0.9
2024,Shatori Walker-Kimbrough,WAS,883,40,0.529,0.17300000000000001,0.141,0.047,2.4,1.9,0.16,0.3,1.0,1.2
