year,player,Tm,mp,g,TS%,USG%,AST%,TRB%,STL%,BLK%,TOV%,OWS,DWS,WS
2023,Kristy Wallace,IND,728,37,0.499,0.18,0.157,0.068,1.6,1.1,0.16699999999999998,0.1,0.3,0.3
2023,Diana Taurasi,PHO,709,26,0.565,0.294,0.321,0.081,1.0,1.4,0.175,1.0,0.1,1.1
2023,Mercedes Russell,SEA,705,37,0.532,0.14400000000000002,0.11800000000000001,0.12,1.1,2.0,0.24,-0.2,0.6,0.4
2023,Lindsay Allen,MIN,698,29,0.48,0.145,0.293,0.059000000000000004,1.2,0.4,0.166,0.8,0.2,0.9
2023,Kayla Thornton,NYL,693,40,0.545,0.11800000000000001,0.055,0.11599999999999999,2.0,1.2,0.109,1.1,1.2,2.3
2023,Danielle Robinson,ATL,690,32,0.534,0.138,0.24,0.055999999999999994,1.6,0.4,0.19699999999999998,0.5,0.7,1.2
2023,Layshia Clarendon,LAS,687,24,0.61,0.182,0.21,0.064,2.0,0.0,0.198,1.1,0.7,1.9
2023,Nia Coffey,ATL,680,31,0.528,0.159,0.11599999999999999,0.124,1.2,4.6,0.182,-0.2,1.2,1.0
2023,Ariel Atkins,WAS,679,27,0.554,0.213,0.158,0.07200000000000001,2.4,1.2,0.111,1.1,1.0,2.1
2023,Victoria Vivians,IND,674,38,0.478,0.157,0.114,0.107,2.1,0.8,0.131,0.1,0.5,0.6
2023,Tyasha Harris,CON,668,40,0.523,0.177,0.165,0.03,2.2,0.4,0.157,0.1,0.8,0.9
2023,Marine Johannes,NYL,662,35,0.556,0.182,0.132,0.043,1.8,0.2,0.174,0.3,0.8,1.0
2023,Monique Billings,ATL,653,39,0.482,0.155,0.073,0.16699999999999998,1.2,1.6,0.16,0.1,1.0,1.1
2023,Elena Delle Donne,WAS,633,23,0.583,0.259,0.156,0.11599999999999999,1.5,3.0,0.084,1.9,1.1,2.9
2023,Lexie Hull,IND,619,30,0.446,0.134,0.078,0.08,2.5,1.3,0.162,-0.2,0.4,0.2
2023,Myisha Hines-Allen,WAS,617,35,0.419,0.213,0.207,0.147,1.9,0.9,0.18100000000000002,-1.1,1.1,0.0
2023,Olivia Nelson-Ododa,CON,585,39,0.588,0.139,0.062,0.147,1.8,5.1,0.16699999999999998,1.0,1.3,2.3
2023,Haley Jones,ATL,584,40,0.405,0.17800000000000002,0.248,0.09,1.4,1.7,0.22699999999999998,-1.2,0.8,-0.4
2023,Bridget Carleton,MIN,573,38,0.49,0.11199999999999999,0.09,0.09,1.2,0.5,0.113,0.3,0.2,0.5
2023,Aari McDonald,ATL,565,24,0.518,0.172,0.21100000000000002,0.048,1.3,0.0,0.17600000000000002,0.2,0.5,0.6
2023,Jessica Shepard,MIN,565,21,0.573,0.14400000000000002,0.19,0.152,1.1,0.3,0.16699999999999998,1.3,0.4,1.7
2023,Veronica Burton,DAL,555,40,0.47,0.08900000000000001,0.20800000000000002,0.07200000000000001,2.6,1.6,0.145,1.0,0.5,1.6
2023,DiJonai Carrington,CON,550,32,0.518,0.24100000000000002,0.129,0.1,1.9,0.5,0.12300000000000001,0.5,0.8,1.3
2023,Zia Cooke,LAS,549,39,0.38,0.22899999999999998,0.096,0.040999999999999995,1.2,2.0,0.105,-1.7,0.5,-1.2
2023,Naz Hillmon,ATL,541,40,0.587,0.145,0.08,0.142,0.7,0.5,0.218,0.7,0.6,1.2
2023,Li Meng,WAS,539,34,0.541,0.17300000000000001,0.107,0.039,0.9,0.2,0.138,0.1,0.4,0.5
2023,Grace Berger,IND,524,36,0.547,0.15,0.2,0.065,1.7,1.0,0.21100000000000002,0.4,0.2,0.6
2023,Kalani Brown,DAL,524,32,0.688,0.179,0.099,0.155,0.7,3.7,0.188,2.0,0.5,2.5
2023,Megan Gustafson,PHO,514,34,0.608,0.235,0.095,0.158,1.3,2.3,0.14300000000000002,1.3,0.3,1.6
2023,Robyn Parks,CHI,505,37,0.51,0.14300000000000002,0.048,0.069,1.2,0.8,0.11800000000000001,0.1,0.3,0.3
